,borouch,block,zipCode,residental units,gross square,taxClass,sale price
3216,2,3597,5,2,2261,1,549000
3217,2,3598,5,2,2363,1,425000
3218,2,3599,5,2,2360,1,645000
3219,2,3599,5,2,2360,1,340000
3220,2,3599,5,2,1932,1,470000
3221,2,3650,5,2,1990,1,437500
3222,2,3667,5,2,2310,1,470000
3223,2,3710,5,2,1860,1,335000
3224,2,3711,5,2,1614,1,410000
3225,2,3711,5,2,1614,1,540000
3226,2,3711,5,2,1614,1,294060
3227,2,3711,5,2,1614,1,405000
3228,2,3711,5,2,1860,1,498000
3229,2,3711,5,2,1860,1,200000
3230,2,3712,5,2,1909,1,380000
3231,2,3717,5,2,1640,1,360000
3232,2,3717,5,2,2620,1,308000
3233,2,3718,5,2,2260,1,332188
3234,2,3718,5,2,2260,1,666368
3235,2,3741,5,2,2920,1,645000
3236,2,3743,5,2,2040,1,425000
3237,2,3752,5,2,2205,1,565000
3238,2,3753,5,2,2196,1,315000
3239,2,3754,5,2,3120,1,625000
3240,2,3755,5,2,1920,1,570000
3241,2,3755,5,2,1920,1,475000
3242,2,3756,5,2,1608,1,390000
3243,2,3757,5,2,1792,1,615000
3244,2,3757,5,2,2250,1,760000
3245,2,3757,5,2,1410,1,500000
3246,2,3762,5,2,2675,1,650000
3247,2,3762,5,2,2675,1,275000
3248,2,3762,5,2,3938,1,649000
3249,2,3762,5,2,3938,1,287500
3250,2,3763,5,2,3432,1,362000
3251,2,3767,5,2,3627,1,480000
3252,2,3770,5,2,2618,1,330000
3253,2,3770,5,2,2618,1,215000
3254,2,3772,5,2,2648,1,560000
3255,2,3775,5,2,3969,1,480000
3256,2,3775,5,2,2646,1,615000
3257,2,3775,5,2,1400,1,460000
3258,2,3775,5,2,1400,1,220000
3259,2,3776,5,2,1392,1,510000
3260,2,3778,5,2,1720,1,355000
3261,2,3863,5,2,2480,1,525000
3262,2,3863,5,2,2480,1,525000
3263,2,3873,5,2,2640,1,400000
3264,2,3873,5,2,2680,1,640000
3265,2,3874,5,2,3685,1,496860
3266,2,3876,5,2,2640,1,290000
3267,2,3876,5,2,2640,1,275000
3268,2,3877,5,2,1764,1,450000
3269,2,3877,5,2,2280,1,570000
3270,2,3877,5,2,2016,1,690000
3271,2,3878,5,2,2200,1,590000
3272,2,3896,5,2,2310,1,585000
3273,2,3445,5,3,2400,1,235000
3274,2,3492,5,3,2780,1,400000
3275,2,3492,5,3,2730,1,275000
3276,2,3492,5,3,4100,1,375000
3277,2,3493,5,3,2730,1,680000
3278,2,3493,5,3,2730,1,365650
3279,2,3493,5,3,2745,1,455000
3280,2,3493,5,3,2925,1,410000
3281,2,3494,5,3,3000,1,545000
3282,2,3494,5,3,2875,1,500000
3283,2,3495,5,3,2655,1,575000
3284,2,3495,5,3,2655,1,250000
3285,2,3497,5,3,2301,1,550000
3286,2,3500,5,3,2650,1,499000
3287,2,3523,5,3,2750,1,560000
3288,2,3523,5,3,2800,1,525000
3289,2,3526,5,3,2254,1,560000
3290,2,3555,5,3,2500,1,340000
3291,2,3556,5,3,2680,1,415000
3292,2,3556,5,3,1760,1,427500
3293,2,3559,5,3,3780,1,476500
3294,2,3562,5,3,2650,1,570000
3295,2,3595,5,3,3550,1,500000
3296,2,3596,5,3,3350,1,625000
3297,2,3596,5,3,2800,1,479400
3298,2,3596,5,3,2800,1,370000
3299,2,3597,5,3,2900,1,530000
3300,2,3599,5,3,2920,1,555000
3301,2,3599,5,3,1932,1,371274
3302,2,3660,5,3,3600,1,700000
3303,2,3713,5,3,3300,1,706250
3304,2,3713,5,3,3300,1,706250
3305,2,3713,5,3,3300,1,706250
3306,2,3713,5,3,3300,1,706250
3307,2,3715,5,3,3520,1,540000
3308,2,3730,5,3,2400,1,490000
3309,2,3731,5,3,2895,1,470000
3310,2,3749,5,3,2860,1,530000
3311,2,3757,5,3,2232,1,414225
3312,2,3763,5,3,3432,1,675000
3313,2,3764,5,3,3238,1,500000
3314,2,3767,5,3,2180,1,495000
3315,2,3774,5,3,2544,1,380000
3316,2,3777,5,3,3240,1,300000
3317,2,3780,5,3,2764,1,665000
3318,2,3780,5,3,2764,1,545000
3319,2,3781,5,3,2000,1,470000
3320,2,3781,5,3,2650,1,469000
3321,2,3784,5,3,2622,1,545000
3322,2,3784,5,3,2622,1,360000
3323,2,3861,5,3,2600,1,551452
3324,2,3868,5,3,2820,1,408000
3325,2,3870,5,3,2764,1,505000
3326,2,3871,5,3,3570,1,220000
3327,2,3873,5,3,3630,1,500000
3328,2,3876,5,3,3960,1,750000
3329,2,3890,5,3,3592,1,480000
3330,2,3525,5,4,2100,2,975000
3331,2,3558,5,7,7500,2,1380000
3332,2,3713,5,5,3240,2,685000
3333,2,3713,5,5,3240,2,585000
3334,2,3716,5,54,52815,2,10000000
3335,2,3716,5,5,3321,2,650000
3336,2,3716,5,4,3321,2,575000
3337,2,3716,5,4,3321,2,530000
3338,2,3738,5,4,3280,2,560000
3339,2,3739,5,4,3200,2,515000
3340,2,3740,5,4,3362,2,200000
3341,2,3740,5,4,3362,2,365000
3342,2,3742,5,4,3280,2,610000
3343,2,3743,5,4,2747,2,535339
3344,2,3747,5,4,3200,2,634000
3345,2,3747,5,4,3200,2,635000
3346,2,3747,5,4,3200,2,435000
3347,2,3747,5,4,3301,2,735000
3348,2,3747,5,4,3301,2,665000
3349,2,3748,5,4,3280,2,465000
3350,2,3748,5,4,3280,2,427665
3351,2,3748,5,4,3280,2,655000
3352,2,3762,5,4,3564,2,600000
3353,2,3772,5,4,3198,2,459484
3354,2,3772,5,4,3198,2,323444
3355,2,3774,5,14,18015,2,2884700
3356,2,3774,5,4,3198,2,670000
3357,2,3776,5,6,4860,2,660000
3358,2,3776,5,6,4860,2,850000
3359,2,3861,5,4,3564,2,270000
3360,2,3863,5,4,3403,2,525000
3361,2,3867,5,4,3280,2,220000
3362,2,3871,5,4,2800,2,615000
3363,2,3885,5,4,3520,2,325000
3364,2,3893,5,6,5670,2,1000000
3365,2,3600,5,948,1021752,2,70936348
3366,2,3867,5,129,95370,2,14183750
3367,2,3474,5,0,3100,4,580000
3368,2,3770,5,0,10000,4,2300000
3369,2,3473,5,0,12099,4,2649900
