,borouch,building category,zipCode,residental units,gross square,taxClass,sale price
555,1,5,10026,15,12310,2,8600000
556,1,5,10026,12,3332,2,2200000
557,1,5,10026,20,8915,2,7150000
558,1,5,10026,10,8125,2,349622
559,1,5,10026,13,11795,2,622843
560,1,5,10025,25,25144,2,38250000
561,1,5,10025,25,25144,2,12750000
562,1,5,10025,30,31818,2,17052000
563,1,7,10017,0,170230,4,90000000
564,1,7,10017,0,170230,4,90000000
565,1,7,10022,0,13349,4,30000000
566,1,7,10022,0,125495,4,155000000
567,1,7,10167,0,1586886,4,2210000000
568,1,7,10022,0,58458,4,62750000
569,1,7,10022,0,5460,4,15250000
570,1,7,10022,0,119867,4,131667000
571,1,7,10017,0,5468,4,7500000
572,1,1,10017,1,3060,1,5000000
573,1,1,10022,1,3240,1,5200000
574,1,1,10017,2,4800,1,7000000
575,1,1,10022,3,4500,1,5700000
576,1,1,10022,3,3200,1,4500000
577,1,5,10017,12,9145,2,7250000
578,1,5,10022,7,5312,2,5500000
579,1,5,10022,9,5812,2,7100000
580,1,5,10022,4,3952,2,4625000
581,1,5,10022,16,7370,2,2950000
582,1,5,10022,8,4960,2,86000000
583,1,5,10022,41,25040,2,16975000
584,1,6,10017,102,60043,2,318000
585,1,5,10022,3,4640,2,5500000
586,1,7,10022,0,3802,4,1120000
587,1,7,10022,0,3802,4,1500000
588,1,7,10022,1,3350,4,5500000
589,1,5,10019,9,11619,2,8250000
590,1,5,10036,12,7316,2,12500000
591,1,5,10019,16,9805,2,12075000
592,1,5,10019,15,9725,2,5400000
593,1,5,10019,23,25248,2,62390625
594,1,5,10019,33,34810,2,34000000
595,1,7,10019,0,134441,4,83126000
596,1,7,10019,0,52150,4,268124175
597,1,7,10019,0,7392,4,30937500
598,1,7,10036,1,4043,4,8171775
599,1,7,10036,0,52851,4,68000000
600,1,7,10036,0,58538,4,50000000
601,1,7,10036,0,21600,4,43100000
602,1,7,10019,0,6848,4,10675000
603,1,7,10036,0,10167,4,13010500
604,1,7,10019,0,112850,4,149700
605,1,7,10019,0,112850,4,107820
606,1,7,10019,0,112850,4,131881
607,1,7,10019,0,112850,4,215640
608,1,7,10019,0,112850,4,107820
609,1,7,10019,0,112850,4,149700
610,1,7,10036,0,103750,4,53000000
611,1,7,10019,8,8950,4,83000000
612,1,7,10036,0,34462,4,5000000
613,1,1,10016,1,1920,1,3850000
614,1,1,10016,1,1824,1,2650000
615,1,5,10016,8,5719,2,4584000
616,1,5,10016,10,7202,2,13500000
617,1,5,10016,10,6895,2,4800000
618,1,5,10016,7,4304,2,4225000
619,1,5,10016,9,5844,2,7037500
620,1,5,10016,11,6357,2,6052000
621,1,5,10016,8,4018,2,5600000
622,1,5,10016,12,8510,2,7200000
623,1,5,10016,12,7080,2,7463000
624,1,5,10016,35,26178,2,27500000
625,1,6,10016,121,91745,2,650000
626,1,5,10016,6,5997,2,12000000
627,1,5,10016,6,9280,2,12000000
628,1,5,10016,6,5875,2,7150000
629,1,5,10016,3,2500,2,2350000
630,1,7,10016,0,14094,4,20000000
631,1,7,10016,0,21885,4,36153620
632,1,7,10016,0,15300,4,14500000
633,1,7,10016,0,9840,4,9900000
634,1,7,10016,6,4460,4,5700000
635,1,7,10016,0,11905,4,8250000
636,1,7,10016,3,7150,4,6050000
637,1,7,10016,0,71043,4,37000000
638,1,7,10016,0,176584,4,118000000
639,1,2,10044,52,38428,2,23296741
640,1,1,10012,2,2239,1,8000000
641,1,1,10012,2,7000,1,43500000
642,1,1,10014,2,3300,1,2056500
643,1,5,10012,34,15918,2,21055000
644,1,5,10013,20,14737,2,15750000
645,1,5,10012,8,7690,2,14500000
646,1,5,10012,16,9583,2,12000000
647,1,5,10014,4,5298,2,10250000
648,1,2,10013,10,15655,2,8146000
649,1,5,10012,5,5240,2,9850000
650,1,7,10013,0,47621,4,11330648
651,1,7,10013,0,47621,4,13226118
652,1,7,10013,0,10630,4,17340000
653,1,7,10013,0,51000,4,64900000
654,1,7,10013,0,11000,4,10500000
655,1,7,10013,0,1748,4,5400000
656,1,7,10013,0,4808,4,28000000
657,1,7,10012,0,4000,4,8400000
658,1,7,10012,0,5380,4,23565000
659,1,4,10012,0,18120,4,93000000
660,1,5,10038,12,31073,2,19000000
661,1,5,10013,4,12500,2,17750000
662,1,7,10013,9,79642,4,90000000
663,1,7,10013,0,160545,4,109915000
664,1,1,10065,1,9600,1,24175000
665,1,1,10065,1,8200,1,20400000
666,1,1,10021,1,6230,1,41000000
667,1,1,10021,1,6282,1,200000
668,1,1,10021,1,6860,1,8300000
669,1,1,10021,1,6860,1,33200000
670,1,1,10065,1,4500,1,14000000
671,1,1,10065,1,3969,1,10500000
672,1,1,10021,1,6480,1,19000000
673,1,1,10021,1,5994,1,9350000
674,1,1,10021,1,4608,1,9900000
675,1,1,10075,1,5436,1,4250000
676,1,1,10065,1,10000,1,18500000
677,1,1,10065,1,3585,1,6000000
678,1,1,10021,1,2700,1,6350000
679,1,1,10075,1,2600,1,4000000
680,1,1,10021,2,6216,1,17500000
681,1,1,10065,2,3012,1,6000000
682,1,1,10021,2,3910,1,11200000
683,1,1,10021,2,3910,1,10500000
684,1,1,10021,2,4842,1,18000000
685,1,1,10065,2,3814,1,7245000
686,1,1,10065,2,4000,1,7050000
687,1,1,10065,2,3456,1,8000000
688,1,1,10065,2,2584,1,3850000
689,1,1,10065,3,3600,1,6982500
690,1,5,10065,4,3810,2,7220500
691,1,5,10022,9,6720,2,5650000
692,1,5,10021,5,4600,2,5850000
693,1,5,10021,15,9150,2,8500000
694,1,5,10021,8,5135,2,9890400
695,1,5,10021,15,6074,2,15000000
696,1,5,10021,8,6100,2,26000000
697,1,5,10021,13,8800,2,8500000
698,1,5,10065,22,13269,2,10422691
699,1,5,10021,17,8395,2,16500000
700,1,5,10021,27,15935,2,11657442
701,1,5,10021,8,8370,2,9800000
702,1,5,10065,10,8910,2,5400000
703,1,5,10021,20,8395,2,6724153
704,1,5,10075,16,6004,2,11200000
705,1,5,10075,184,98622,2,1500000
706,1,5,10065,4,8740,2,13000000
707,1,6,10075,13,7016,2,6600000
708,1,5,10065,6,9276,2,61500000
709,1,5,10022,6,5360,2,5950000
710,1,5,10065,6,5332,2,5500000
711,1,7,10065,0,10345,4,32000000
712,1,7,10065,0,18860,4,79500000
713,1,7,10065,0,11854,4,28000000
714,1,7,10065,0,58298,4,730000
715,1,7,10021,1,5795,4,19250000
716,1,7,10022,4,5440,4,5200000
717,1,7,10075,0,17618,4,17000000
718,1,7,10021,0,14166,4,17000000
719,1,3,10065,0,11235,4,25000000
720,1,1,10028,1,9300,1,9148120
721,1,1,10028,1,5365,1,8950000
722,1,1,10028,1,5900,1,18500000
723,1,1,10128,1,4501,1,8900000
724,1,1,10128,1,3536,1,5925000
725,1,1,10128,1,3460,1,6210000
726,1,1,10128,1,6680,1,12500000
727,1,1,10028,1,3420,1,7000000
728,1,1,10028,1,3420,1,7000000
729,1,1,10128,1,3564,1,5750000
730,1,1,10128,1,3536,1,7450000
731,1,1,10028,1,3507,1,6500000
732,1,1,10128,1,1824,1,4495000
733,1,1,10028,2,5072,1,21000000
734,1,1,10128,2,3072,1,6787500
735,1,1,10128,3,3888,1,6895000
736,1,5,10128,10,6090,2,9850000
737,1,5,10128,4,4040,2,6500000
738,1,5,10028,20,9835,2,19400000
739,1,5,10128,8,5404,2,5075000
740,1,5,10128,50,20831,2,20000000
741,1,5,10128,5,2136,2,4450000
742,1,5,10028,15,6716,2,6000000
743,1,5,10028,11,8468,2,9100000
744,1,5,10128,9,8050,2,8000000
745,1,5,10128,20,8150,2,5400000
746,1,5,10028,24,11748,2,8551835
747,1,5,10028,10,8835,2,6600000
748,1,5,10028,10,5846,2,4850000
749,1,5,10128,10,6570,2,5310000
750,1,5,10128,8,7535,2,6500000
751,1,5,10128,8,7535,2,6200000
752,1,5,10128,40,21640,2,22795500
753,1,5,10028,20,8555,2,10750000
754,1,5,10028,4,5815,2,6175000
755,1,5,10128,20,8965,2,6800000
